Plaatsnaam;Provincie;Latitude;Longitude
Putten;Gelderland;522.416.782;55.510.244
Puttershoek;Zuid-Holland;518.053.785;45.664.733
Raalte;Overijssel;523.941.105;62.896.378
Raamsdonk;Noord-Brabant;516.898.836;49.043.163
Raamsdonksveer;Noord-Brabant;517.051.197;48.748.407
Raard;Friesland;533.255.822;59.445.867
Radewijk;Overijssel;52.570.246;67.106.212
Radio Kootwijk;Gelderland;521.745.753;5.827.017
Raerd;Friesland;530.983.382;5.760.811
Randwijk;Gelderland;519.529.593;5.709.109
Ransdaal;Limburg;508.623.355;58.957.573
Rasquert;Groningen;533.683.436;65.172.017
Ravenstein;Noord-Brabant;517.967.784;56.515.008
Ravenswaaij;Gelderland;5.195.201;53.271.725
Ravenswoud;Friesland;529.651.208;63.808.774
Readtsjerk;Friesland;532.600.828;59.218.173
Reahûs;Friesland;5.308.372;563.195
Reduzum;Friesland;531.169.587;57.853.763
Reek;Noord-Brabant;517.449.838;56.829.659
Reeuwijk;Zuid-Holland;520.459.962;47.235.288
Reijmerstok;Limburg;508.010.119;58.396.199
Reitsum;Friesland;533.210.197;58.912.098
Rekken;Gelderland;520.941.369;6.723.281
Renesse;Zeeland;5.173.129;3.771.445
Renkum;Gelderland;519.834.947;57.420.526
Renswoude;Utrecht;520.746.607;55.381.732
Ressen;Gelderland;518.899.741;58.681.436
Retranchement;Zeeland;513.481.316;33.852.526
Reusel;Noord-Brabant;513.659.873;51.728.762
Reutum;Overijssel;523.910.739;68.458.257
Reuver;Limburg;512.862.173;60.828.226
Rha;Gelderland;520.540.092;61.451.152
Rheden;Gelderland;520.057.368;60.279.594
Rhee;Drenthe;530.326.451;65.661.433
Rheeze;Overijssel;525.468.903;6.581.385
Rheezerveen;Overijssel;52.569.017;65.311.769
Rhenen;Utrecht;519.687.581;5.557.913
Rhenoy;Gelderland;518.824.694;51.547.505
Rhoon;Zuid-Holland;518.685.822;44.189.953
Ridderkerk;Zuid-Holland;518.530.202;46.175.276
Ried;Friesland;532.237.365;55.923.017
Riel;Noord-Brabant;515.259.901;50.252.716
Rien;Friesland;530.959.643;56.578.893
Riethoven;Noord-Brabant;513.525.213;53.865.427
Rietmolen;Gelderland;521.406.755;66.627.635
Rijen;Noord-Brabant;515.893.499;4.929.033
Rijkevoort;Noord-Brabant;516.577.927;58.851.558
Rijkevoort-De Walsert;Noord-Brabant;51.646.667;5.861.111
Rijnsaterwoude;Zuid-Holland;52.198.906;46.716.523
Rijnsburg;Zuid-Holland;521.892.775;44.431.763
Rijpwetering;Zuid-Holland;52.193.109;45.823.688
Rijs;Friesland;528.632.514;54.992.868
Rijsbergen;Noord-Brabant;515.156.637;47.009.847
Rijsenhout;Noord-Holland;522.620.371;47.127.066
Rijssen;Overijssel;523.120.502;64.974.269
Rijswijk;Gelderland;519.582.502;53.568.429
Rijswijk;Noord-Brabant;517.984.298;50.241.608
Rijswijk;Zuid-Holland;520.355.505;43.480.274
Rilland;Zeeland;514.168.703;41.808.409
Rinsumageast;Friesland;532.973.163;59.498.906
Rips;Noord-Brabant;515.504.737;5.807.514
Ritthem;Zeeland;514.513.474;36.260.148
Rockanje;Zuid-Holland;518.719.333;40.683.056
Roden;Drenthe;531.338.568;63.999.433
Roderesch;Drenthe;531.159.237;64.255.404
Roderwolde;Drenthe;531.685.593;6.469.976
Roelofarendsveen;Zuid-Holland;522.018.801;46.312.247
Roermond;Limburg;511.688.665;60.178.725
Rogat;Drenthe;526.881.001;62.656.138
Roggel;Limburg;512.625.256;59.225.139
Rohel;Friesland;529.174.277;58.318.126
Rolde;Drenthe;529.871.552;66.469.982
Roodeschool;Groningen;534.202.348;67.641.787
Roosendaal;Noord-Brabant;514.999.035;44.295.504
Roosteren;Limburg;510.827.501;58.159.001
Rosmalen;Noord-Brabant;51.746.765;54.034.816
Rossum;Gelderland;518.018.021;53.354.909
Rossum;Overijssel;523.523.703;69.234.513
Roswinkel;Drenthe;528.375.134;70.388.792
Rotstergaast;Friesland;529.004.303;58.937.014
Rotsterhaule;Friesland;529.227.609;58.449.816
Rotterdam;Zuid-Holland;518.907.725;44.273.885
Rottevalle;Friesland;531.460.571;61.052.008
Rottum;Groningen;533.829.417;66.200.842
Rottum;Friesland;529.356.565;58.917.903
Rouveen;Overijssel;526.158.208;61.790.162
Rozenburg;Noord-Holland;522.817.172;47.377.604
Rozenburg;Zuid-Holland;51.904.422;42.471.328
Rozendaal;Gelderland;520.097.855;59.665.074
Rucphen;Noord-Brabant;515.335.666;45.603.199
Ruigahuizen;Friesland;528.815.405;55.704.592
Ruinen;Drenthe;52.763.737;63.599.286
Ruinerwold;Drenthe;527.224.272;62.477.691
Rumpt;Gelderland;518.829.567;51.797.875
Rutten;Flevoland;528.063.117;56.972.857
Ruurlo;Gelderland;52.081.603;64.548.904
Ryptsjerk;Friesland;532.244.179;59.159.708
Saaksum;Groningen;533.135.125;64.181.432
Saasveld;Overijssel;52.331.452;68.074.325
Saaxumhuizen;Groningen;533.803.878;64.828.482
Sambeek;Noord-Brabant;516.356.817;59.650.533
Sandfirden;Friesland;529.881.299;55.209.776
Santpoort-Noord;Noord-Holland;52.436.914;46.081.788
Santpoort-Zuid;Noord-Holland;524.224.968;46.355.674
Sappemeer;Groningen;531.648.257;67.940.614
Sas van Gent;Zeeland;512.276.878;37.999.937
Sassenheim;Zuid-Holland;522.237.737;45.366.712
Sauwerd;Groningen;53.294.304;65.328.391
Schagen;Noord-Holland;5.277.191;47.987.175
Schagerbrug;Noord-Holland;528.015.307;47.558.219
Schaijk;Noord-Brabant;517.484.858;56.297.284
Schalkhaar;Overijssel;52.268.486;61.940.083
Schalkwijk;Utrecht;519.951.885;5.187.845
Schalsum;Friesland;531.981.155;5.572.159
Schardam;Noord-Holland;525.950.121;50.174.519
Scharendijke;Zeeland;517.357.017;38.446.523
Scharmer;Groningen;532.045.019;67.063.246
Scharnegoutum;Friesland;530.643.261;56.802.174
Scharsterbrug;Friesland;529.430.397;57.776.424
Scharwoude;Noord-Holland;526.221.832;50.124.124
Scheemda;Groningen;531.763.506;69.723.944
Scheerwolde;Overijssel;527.568.944;6.014.545
Schellinkhout;Noord-Holland;526.359.037;51.215.198
Schelluinen;Zuid-Holland;518.419.281;49.253.392
Schermerhorn;Noord-Holland;526.005.503;48.897.767
Scherpenisse;Zeeland;515.463.105;41.040.252
Scherpenzeel;Friesland;528.317.587;58.754.856
Scherpenzeel;Gelderland;520.789.297;54.880.645
Schettens;Friesland;530.829.415;54.836.023
Scheulder;Limburg;508.294.318;58.426.081
Schiedam;Zuid-Holland;519.313.584;44.046.645
Schiermonnikoog;Friesland;534.785.962;61.560.311
Schijf;Noord-Brabant;514.970.253;45.732.357
Schijndel;Noord-Brabant;516.362.209;5.450.768
Schildwolde;Groningen;532.317.414;6.815.061
Schimmert;Limburg;509.064.579;58.261.927
Schin op Geul;Limburg;508.537.836;5.873.265
Schinnen;Limburg;509.436.467;58.793.607
Schinveld;Limburg;509.674.943;59.809.574
Schipborg;Drenthe;530.720.429;66.685.006
Schiphol;Noord-Holland;523.052.778;47.992.528
Schiphol-Rijk;Noord-Holland;52.279.722;4.753.889
Schipluiden;Zuid-Holland;51.975.149;43.201.488
Schokland;Flevoland;526.439.531;57.736.587
Schoondijke;Zeeland;513.540.194;35.556.505
Schoonebeek;Drenthe;526.626.006;68.838.388
Schoonhoven;Zuid-Holland;519.525.204;48.432.204
Schoonloo;Drenthe;529.055.688;67.003.997
Schoonoord;Drenthe;528.463.259;6.756.837
Schoonrewoerd;Zuid-Holland;519.220.123;51.184.369
Schoorl;Noord-Holland;527.054.779;47.053.146
Schore;Zeeland;514.626.485;3.998.334
Schouwerzijl;Groningen;533.320.492;64.502.452
Schraard;Friesland;530.807.887;54.512.145
Schuinesloot;Overijssel;526.447.125;65.526.705
Sebaldeburen;Groningen;532.206.552;63.094.299
Seerijp;Friesland;533.799.642;52.974.874
Sellingen;Groningen;529.457.702;71.455.913
Serooskerke;Zeeland;51.548.611;3.595.278
Sevenum;Limburg;51.410.634;60.262.189
Sexbierum;Friesland;532.173.164;54.843.741
Sibculo;Overijssel;524.819.795;66.370.606
Sibrandabuorren;Friesland;530.683.264;57.208.088
Sibrandahûs;Friesland;53.316.667;5.966.667
Siddeburen;Groningen;532.475.764;68.643.285
Siebengewald;Limburg;516.499.329;61.054.976
Siegerswoude;Friesland;530.926.189;62.174.536
Sijbekarspel;Noord-Holland;527.121.865;49.764.999
Silvolde;Gelderland;519.094.896;63.849.034
Simonshaven;Zuid-Holland;51.821.815;42.898.095
Simpelveld;Limburg;508.340.269;59.826.108
Sinderen;Gelderland;519.045.837;64.611.313
Sint Agatha;Noord-Brabant;517.133.941;59.103.669
Sint Annaland;Zeeland;515.998.713;41.033.185
Sint Annaparochie;Friesland;532.764.463;56.570.979
Sint Annen;Groningen;532.974.996;66.650.544
Sint Anthonis;Noord-Brabant;516.271.613;58.851.934
Sint Geertruid;Limburg;507.956.698;57.653.784
Sint Hubert;Noord-Brabant;516.781.424;58.098.778
Sint Jacobiparochie;Friesland;532.728.486;56.087.388
Sint Jansklooster;Overijssel;526.781.926;60.081.125
Sint Jansteen;Zeeland;512.631.795;40.486.905
Sint Joost;Limburg;511.222.355;59.037.639
Sint Kruis;Zeeland;51.272.565;34.950.273
Sint Maarten;Noord-Holland;527.726.894;47.448.499
Sint Maartensbrug;Noord-Holland;527.809.681;47.274.984
Sint Maartensdijk;Zeeland;515.491.448;40.767.226
Sint Maartensvlotbrug;Noord-Holland;52.784.475;47.086.508
Sint Nicolaasga;Friesland;529.243.196;57.406.279
Sint Odiliënberg;Limburg;51.15;6
Sint Pancras;Noord-Holland;526.655.556;47.867.781
Sint Philipsland;Zeeland;516.167.888;416.795
Sint Willebrord;Noord-Brabant;515.517.785;45.897.498
Sint-Michielsgestel;Noord-Brabant;516.410.946;53.592.565
Sint-Oedenrode;Noord-Brabant;515.519.293;54.473.341
Sintjohannesga;Friesland;529.363.021;58.659.471
Sirjansland;Zeeland;516.762.875;40.312.695
Sittard;Limburg;510.011.723;58.895.328
Skingen;Friesland;532.015.322;56.175.766
Slagharen;Overijssel;526.268.548;65.571.307
Slappeterp;Friesland;532.130.255;56.218.291
Sleen;Drenthe;527.756.717;68.023.989
Sleeuwijk;Noord-Brabant;51.810.891;49.511.788
Slenaken;Limburg;507.686.548;58.613.458
Sliedrecht;Zuid-Holland;518.350.697;47.689.529
Slijk-Ewijk;Gelderland;518.849.709;57.882.905
Slijkenburg;Friesland;528.065.575;58.442.817
Slochteren;Groningen;532.122.779;6.801.653
Slootdorp;Noord-Holland;528.451.344;49.686.855
Sloten;Friesland;528.945.213;56.457.171
Sluis;Zeeland;513.086.558;33.879.195
Sluiskil;Zeeland;512.777.029;38.366.881
Smakt;Limburg;515.681.813;60.045.218
Smalle Ee;Friesland;531.036.621;60.183.321
Smallebrugge;Friesland;529.580.538;56.377.756
Smilde;Drenthe;529.491.879;64.466.811
Snakkerburen;Friesland;53.220.113;58.096.366
Sneek;Friesland;530.223.731;5.645.198
Snelrewaard;Utrecht;520.282.894;49.001.637
Snikzwaag;Friesland;529.853.496;57.877.901
Soerendonk;Noord-Brabant;513.018.545;55.741.425
Soest;Utrecht;521.520.423;53.000.385
Soesterberg;Utrecht;521.210.918;52.853.468
Someren;Noord-Brabant;513.554.596;57.017.038
Sommelsdijk;Zuid-Holland;517.510.552;41.492.498
Son;Noord-Brabant;515.009.357;54.667.096
Sondel;Friesland;528.711.433;55.976.085
Sonnega;Friesland;528.697.601;59.684.037
Spaarndam;Noord-Holland;524.128.782;46.860.272
Spaarndam-West;Noord-Holland;52.415;4.676.944
Spanbroek;Noord-Holland;526.984.009;49.587.439
Spanga;Friesland;528.188.502;58.850.429
Spankeren;Gelderland;520.580.435;61.125.359
Spannum;Friesland;531.428.386;56.076.101
Spaubeek;Limburg;509.348.612;58.428.501
Spier;Drenthe;528.201.732;6.469.235
Spierdijk;Noord-Holland;526.616.759;49.370.628
Spijk;Groningen;533.902.595;68.374.185
Spijk;Gelderland;518.494.778;61.535.152
Spijkenisse;Zuid-Holland;518.449.437;43.069.723
Spijkerboor;Noord-Holland;525.383.425;48.322.711
Spijkerboor;Drenthe;53.076.993;67.645.658
Sprang-Capelle;Noord-Brabant;51.680.119;50.113.884
Sprundel;Noord-Brabant;515.353.221;45.930.928
Spui;Zeeland;512.977.464;38.782.696
Stad aan 't Haringvliet;Zuid-Holland;517.385.339;42.412.443
Stadskanaal;Groningen;529.899.378;69.435.889
Stampersgat;Noord-Brabant;516.139.275;44.427.261
Standdaarbuiten;Noord-Brabant;516.133.003;45.135.592
Staphorst;Overijssel;526.429.144;61.994.944
Starnmeer;Noord-Holland;52.541.944;4.793.333
Startenhuizen;Groningen;533.739.838;67.075.464
Stavenisse;Zeeland;515.861.025;40.122.135
Stavoren;Friesland;528.829.456;53.607.068
Stedum;Groningen;533.223.306;66.932.859
Steenbergen;Noord-Brabant;515.924.423;43.144.548
Steenbergen;Drenthe;53.099.072;64.080.118
Steendam;Groningen;532.748.765;68.423.697
Steenderen;Gelderland;520.643.561;61.896.971
Steenenkamer;Gelderland;522.440.677;61.489.797
Steensel;Noord-Brabant;513.781.787;5.352.071
Steenwijk;Overijssel;527.989.613;61.342.565
Steenwijkerwold;Overijssel;528.045.827;60.647.433
Stegeren;Overijssel;525.236.417;6.508.687
Steggerda;Friesland;528.566.917;60.751.422
Steijl;Limburg;513.332.053;61.219.083
Stein;Limburg;509.679.738;57.662.196
Stellendam;Zuid-Holland;51.806.187;40.244.063
Sterksel;Noord-Brabant;513.506.055;56.118.505
Stevensbeek;Noord-Brabant;516.034.193;59.160.981
Stevensweert;Limburg;5.113.123;58.456.817
Stieltjeskanaal;Drenthe;526.748.679;68.258.857
Stiens;Friesland;532.643.997;5.752.343
Stitswerd;Groningen;533.608.768;65.992.932
Stokkum;Gelderland;518.774.173;62.225.361
Stolwijk;Zuid-Holland;519.736.881;47.721.019
Stompetoren;Noord-Holland;526.128.907;48.216.171
Stoutenburg;Utrecht;521.540.746;54.325.516
Stoutenburg Noord;Utrecht;52.158.056;5.464.167
Stramproy;Limburg;511.943.225;5.722.053
Streefkerk;Zuid-Holland;518.998.914;474.488
Strijbeek;Noord-Brabant;515.015.194;47.971.903
Strijen;Zuid-Holland;517.446.835;45.539.197
Strijensas;Zuid-Holland;517.145.472;45.858.807
Stroe;Gelderland;521.862.224;56.939.179
Stroobos;Friesland;532.320.746;62.039.053
Stuifzand;Drenthe;527.474.721;649.875
Sumar;Friesland;531.776.214;60.024.829
Surhuisterveen;Friesland;531.872.937;61.643.051
Surhuizum;Friesland;532.048.729;61.790.038
Susteren;Limburg;510.640.999;58.527.448
Suwâld;Friesland;5.318.065;59.228
Swalmen;Limburg;512.295.456;6.046.671
Sweikhuizen;Limburg;509.533.396;58.458.946
Swichum;Friesland;531.539.551;58.186.478
Swifterbant;Flevoland;525.673.148;56.410.931
Swolgen;Limburg;514.920.154;61.173.012
Taarlo;Drenthe;530.331.236;66.250.169
Teeffelen;Noord-Brabant;517.980.878;54.946.541
Teerns;Friesland;531.808.429;58.342.596
Tegelen;Limburg;513.352.663;6.152.407
Ten Post;Groningen;532.967.087;67.293.486
Ter Aar;Zuid-Holland;52.164.925;47.087.085
Ter Aard;Drenthe;530.285.059;6.549.913
Ter Apel;Groningen;528.771.642;70.592.312
Ter Apelkanaal;Groningen;529.030.766;70.489.563
Ter Heijde;Zuid-Holland;520.299.823;41.677.757
Ter Hole;Zeeland;513.161.628;40.368.113
Ter Idzard;Friesland;529.050.559;60.370.666
Terband;Friesland;530.060.142;5.897.299
Terborg;Gelderland;519.202.661;63.560.252
Terheijden;Noord-Brabant;516.443.817;47.512.386
Terherne;Friesland;530.410.043;57.814
Terkaple;Friesland;530.136.865;57.894.517
Termunten;Groningen;532.969.035;70.461.427
Termunterzijl;Groningen;53.3;7.033.333
Ternaard;Friesland;533.807.711;5.965.258
Terneuzen;Zeeland;513.078.029;38.397.799
Teroele;Friesland;529.350.628;56.934.478
Terschuur;Gelderland;521.647.835;55.149.033
Tersoal;Friesland;530.746.615;57.365.693
Terwispel;Friesland;530.192.697;60.493.237
Terwolde;Gelderland;522.836.031;60.990.234
Teteringen;Noord-Brabant;516.100.996;48.236.992
Teuge;Gelderland;522.354.487;60.489.772
Thesinge;Groningen;532.681.438;66.512.343
Tholen;Zeeland;515.332.946;42.162.383
Thorn;Limburg;511.626.128;58.427.213
Tiel;Gelderland;518.683.653;54.074.136
Tiendeveen;Drenthe;5.274.672;65.437.401
Tienhoven;Utrecht;521.667.429;5.082.587
Tienhoven;Zuid-Holland;519.601.179;49.445.218
Tienray;Limburg;514.953.398;60.926.863
Tijnje;Friesland;53.031.338;59.934.442
Tilburg;Noord-Brabant;515.924.095;5.073.913
Tilligte;Overijssel;524.046.707;69.503.282
Tinallinge;Groningen;533.572.921;6.535.116
Tinte;Zuid-Holland;518.864.771;41.355.882
Tirns;Friesland;5.305.892;56.261.417
Tjalhuizum;Friesland;530.468.753;56.140.568
Tjalleberd;Friesland;529.978.296;59.432.282
Tjerkgaast;Friesland;529.035.576;56.783.033
Tjerkwerd;Friesland;530.423.532;55.025.371
Tjuchem;Groningen;532.797.996;68.784.014
Tolbert;Groningen;531.714.774;63.590.951
Toldijk;Gelderland;52.053.962;6.221.237
Tolkamer;Gelderland;51.852.073;61.032.046
Tollebeek;Flevoland;526.785.436;56.771.077
Tonden;Gelderland;521.379.608;61.323.271
Toornwerd;Groningen;533.538.973;66.359.236
Tricht;Gelderland;518.901.708;52.655.795
Triemen;Friesland;532.745.312;60.939.959
Tripscompagnie;Groningen;53.138.056;6.825
Tubbergen;Overijssel;524.089.074;67.854.892
Tuil;Gelderland;518.226.459;52.398.093
Tuitjenhorn;Noord-Holland;527.393.604;47.493.132
Tuk;Overijssel;52.796.389;6.094.722
Tull en 't Waal;Utrecht;520.013.657;51.336.144
Tweede Exloërmond;Drenthe;529.166.667;69.666.667
Tweede Valthermond;Drenthe;528.902.525;70.254.193
Twello;Gelderland;522.372.377;6.125.357
Twijzel;Friesland;53.233.302;60.906.307
Twijzelerheide;Friesland;532.409.366;60.436.067
Twisk;Noord-Holland;527.413.549;50.563.358
Tynaarlo;Drenthe;530.784.318;66.145.455
Tytsjerk;Friesland;532.143.699;59.117.022
Tzum;Friesland;531.588.616;55.633.501
Tzummarum;Friesland;532.374.865;55.498.319
Ubbena;Drenthe;530.450.071;65.729.058
Ubbergen;Gelderland;518.368.067;59.022.384
Uddel;Gelderland;522.577.273;57.824.206
Uden;Noord-Brabant;516.719.817;55.891.305
Udenhout;Noord-Brabant;516.108.261;51.439.299
Uffelte;Drenthe;527.905.962;62.781.653
Ugchelen;Gelderland;521.771.238;58.931.714
Uitdam;Noord-Holland;524.210.268;50.724.962
Uitgeest;Noord-Holland;525.312.254;47.120.459
Uithoorn;Noord-Holland;522.340.482;48.149.669
Uithuizen;Groningen;53.406.165;66.628.402
Uithuizermeeden;Groningen;534.143.783;67.255.617
Uitwellingerga;Friesland;530.033.721;57.053.841
Uitwijk;Noord-Brabant;517.856.212;50.071.044
Ulestraten;Limburg;509.052.194;57.806.749
Ulft;Gelderland;518.914.526;63.834.136
Ulicoten;Noord-Brabant;514.578.947;48.566.909
Ulrum;Groningen;533.590.648;63.335.726
Ulvenhout;Noord-Brabant;515.346.589;48.176.315
Ureterp;Friesland;530.956.086;61.684.547
Urk;Flevoland;526.681.031;5.634.071
Urmond;Limburg;509.904.464;57.769.151
Ursem;Noord-Holland;526.213.428;48.762.533
Usquert;Groningen;534.034.398;66.120.412
Utrecht;Utrecht;520.709.997;51.489.212
Vaals;Limburg;507.732.182;60.112.743
Vaassen;Gelderland;522.781.239;59.518.594
Valburg;Gelderland;519.108.668;57.881.438
Valkenburg;Zuid-Holland;521.793.927;44.327.928
Valkenburg;Limburg;508.652.306;58.320.515
Valkenswaard;Noord-Brabant;513.150.257;54.465.416
Valthe;Drenthe;528.454.306;68.941.775
Valthermond;Drenthe;528.751.593;6.948.558
Varik;Gelderland;518.231.362;5.368.234
Varsselder-Veldhunten;Gelderland;518.835.365;63.441.366
Varsseveld;Gelderland;519.435.959;64.630.534
Vasse;Overijssel;524.347.951;6.831.258
Veelerveen;Groningen;530.566.004;71.265.808
Veen;Noord-Brabant;517.793.516;51.077.955
Veendam;Groningen;531.151.034;68.571.941
Veenendaal;Utrecht;520.193.461;55.830.274
Veenhuizen;Drenthe;530.306.682;63.939.878
Veeningen;Drenthe;526.694.862;63.713.321
Veenklooster;Friesland;532.633.242;61.034.188
Veenoord;Drenthe;527.145.189;6.845.464
Veere;Zeeland;515.482.937;36.660.061
Veessen;Gelderland;523.773.778;60.893.526
Vegelinsoord;Friesland;529.993.439;58.636.397
Veghel;Noord-Brabant;516.233.461;55.563.902
Velddriel;Gelderland;517.693.183;53.043.655
Velden;Limburg;514.145.226;61.644.463
Veldhoven;Noord-Brabant;514.299.433;54.072.542
Velp;Gelderland;519.883.654;59.968.287
Velp;Noord-Brabant;517.492.525;5.716.923
Velsen-Noord;Noord-Holland;52.472.747;46.392.466
Velsen-Zuid;Noord-Holland;524.605.358;4.651.855
Velserbroek;Noord-Holland;524.285.923;4.667.234
Ven-Zelderheide;Limburg;517.119.985;60.234.434
Venebrugge;Overijssel;525.605.572;66.737.839
Venhorst;Noord-Brabant;516.083.485;57.384.754
Venhuizen;Noord-Holland;526.646.778;52.065.474
Venlo;Limburg;514.094.401;60.930.958
Venray;Limburg;515.475.119;59.715.216
Vessem;Noord-Brabant;514.196.789;52.884.532
Vethuizen;Gelderland;519.131.842;6.300.888
Veulen;Limburg;514.828.482;59.554.233
Vianen;Utrecht;519.815.011;50.697.869
Vianen;Noord-Brabant;517.177.522;58.599.565
Vierakker;Gelderland;521.075.872;62.350.546
Vierhouten;Gelderland;52.332.086;58.297.801
Vierhuizen;Groningen;533.602.891;62.912.261
Vierlingsbeek;Noord-Brabant;515.964.371;60.071.434
Vierpolders;Zuid-Holland;518.790.302;4.179.654
Vijfhuizen;Noord-Holland;523.524.275;46.825.852
Vijlen;Limburg;507.887.847;59.632.976
Vilsteren;Overijssel;525.109.849;63.520.644
Vinkega;Friesland;52.872.999;61.151.444
Vinkel;Noord-Brabant;517.061.566;54.809.234
Vinkenbuurt;Overijssel;525.786.768;63.358.125
Vinkeveen;Utrecht;522.150.916;49.348.068
Visvliet;Groningen;532.663.232;62.507.037
Vlaardingen;Zuid-Holland;519.266.761;43.164.285
Vlagtwedde;Groningen;530.270.253;71.107.879
Vledder;Drenthe;528.574.253;62.104.423
Vledderveen;Groningen;529.880.354;70.073.682
Vledderveen;Drenthe;528.763.431;6.187.924
Vleuten;Utrecht;520.930.262;50.077.233
Vlieland;Friesland;532.501.844;49.514.271
Vlierden;Noord-Brabant;514.445.635;57.596.074
Vlijmen;Noord-Brabant;516.986.978;52.092.136
Vlissingen;Zeeland;514.732.785;35.913.881
Vlist;Zuid-Holland;519.809.619;48.171.551
Vlodrop;Limburg;511.331.277;60.757.908
Voerendaal;Limburg;508.725.871;59.253.165
Vogelenzang;Noord-Holland;523.196.324;45.780.826
Vogelwaarde;Zeeland;513.247.316;39.775.618
Volendam;Noord-Holland;52.496.442;50.478.618
Volkel;Noord-Brabant;516.428.528;56.546.035
Vollenhove;Overijssel;526.734.759;59.625.154
Vondelingenplaat;Zuid-Holland;518.869;4.33
Voorburg;Zuid-Holland;520.619.392;43.521.668
Voorhout;Zuid-Holland;522.223.012;44.863.318
Voorschoten;Zuid-Holland;521.217.577;44.219.431
Voorst;Gelderland;521.688.539;61.435.287
Voorthuizen;Gelderland;521.860.962;5.605.201
Vorchten;Gelderland;523.985.828;61.068.357
Vorden;Gelderland;521.044.492;63.140.488
Vorstenbosch;Noord-Brabant;516.534.974;55.510.569
Vortum-Mullem;Noord-Brabant;516.209.888;59.787.141
Vragender;Gelderland;51.986.733;66.117.406
Vredenheim;Drenthe;529.470.985;66.561.129
Vredepeel;Limburg;51.541.458;58.691.665
Vreeland;Utrecht;522.303.508;50.284.187
Vries;Drenthe;530.766.948;65.783.227
Vriescheloo;Groningen;530.707.014;71.148.494
Vriezenveen;Overijssel;524.128.734;66.069.062
Vroomshoop;Overijssel;52.456.752;65.657.522
Vrouwenakker;Zuid-Holland;52.213.967;47.850.891
Vrouwenparochie;Friesland;532.800.146;57.030.451
Vrouwenpolder;Zeeland;515.772.562;36.187.496
Vught;Noord-Brabant;516.765.183;5.262.223
Vuren;Gelderland;518.244.417;50.477.201
Waaksens;Friesland;531.099.958;55.379.145
Waal;Zuid-Holland;519.381.851;49.009.372
Waalre;Noord-Brabant;513.916.919;54.940.602
Waalwijk;Noord-Brabant;516.740.284;50.481.225
Waarde;Zeeland;514.184.562;40.681.591
Waardenburg;Gelderland;518.316.905;52.570.147
Waarder;Zuid-Holland;520.615.017;48.200.232
Waardhuizen;Noord-Brabant;517.768.855;50.074.388
Waarland;Noord-Holland;52.725.898;48.335.986
Waaxens;Friesland;533.563.815;59.213.459
Wachtum;Drenthe;527.236.641;67.495.309
Waddinxveen;Zuid-Holland;520.352.383;46.348.713
Wadenoijen;Gelderland;518.741.325;53.728.726
Wagenberg;Noord-Brabant;516.646.838;4.747.925
Wagenborgen;Groningen;53.256.161;69.305.903
Wageningen;Gelderland;519.663.978;56.354.531
Walem;Limburg;508.663.653;58.676.213
Walsoorden;Zeeland;513.814.114;40.276.265
Wâlterswâld;Friesland;53.3;6.033.333
Wamel;Gelderland;518.775.456;54.576.816
Wanneperveen;Overijssel;527.038.368;61.235.013
Wanroij;Noord-Brabant;516.565.966;58.221.627
Wanssum;Limburg;515.363.948;60.756.528
Wânswert;Friesland;53.3;5.85
Wapenveld;Gelderland;524.299.172;60.725.982
Wapse;Drenthe;528.576.344;62.655.306
Wapserveen;Drenthe;528.274.572;62.330.688
Warder;Noord-Holland;525.635.314;50.324.222
Warffum;Groningen;53.393.408;65.592.591
Warfhuizen;Groningen;533.424.905;64.255.934
Warfstermolen;Friesland;532.955.171;62.329.561
Warmenhuizen;Noord-Holland;527.226.939;47.384.987
Warmond;Zuid-Holland;521.917.941;45.379.939
Warns;Friesland;528.743.192;54.107.648
Warnsveld;Gelderland;521.315.582;62.352.007
Warstiens;Friesland;531.613.633;58.627.694
Warten;Friesland;531.500.391;58.981.573
Waskemeer;Friesland;530.563.837;62.813.745
Waspik;Noord-Brabant;51.685.585;49.495.377
Wassenaar;Zuid-Holland;521.224.859;44.024.704
Wateren;Drenthe;529.104.343;62.814.045
Watergang;Noord-Holland;524.398.855;49.521.153
Waterhuizen;Groningen;531.865.585;66.518.275
Wateringen;Zuid-Holland;520.192.123;42.870.064
Waterlandkerkje;Zeeland;513.191.569;35.598.595
Waverveen;Utrecht;522.211.049;48.987.891
Wedde;Groningen;530.697.175;70.748.337
Weerselo;Overijssel;523.514.479;68.540.934
Weert;Limburg;512.207.937;56.612.402
Weesp;Noord-Holland;522.934.588;50.507.624
Wehe-Den Hoorn;Groningen;533.606.579;64.174.547
Wehl;Gelderland;519.619.155;62.107.418
Weidum;Friesland;531.460.597;57.439.155
Weiteveen;Drenthe;526.714.283;69.988.843
Wekerom;Gelderland;521.123.738;57.152.647
Well;Gelderland;517.444.609;5.204.966
Well;Limburg;515.490.028;60.898.146
Wellerlooi;Limburg;515.348.134;61.368.845
Welsum;Overijssel;523.361.006;60.901.814
Wemeldinge;Zeeland;515.167.534;39.964.784
Wenum Wiesel;Gelderland;522.446.684;59.278.042
Wergea;Friesland;531.519.991;58.468.646
Werkendam;Noord-Brabant;518.081.653;4.891.848
Werkhoven;Utrecht;520.232.139;52.437.838
Wernhout;Noord-Brabant;514.558.841;46.431.964
