Plaatsnaam;Provincie;Latitude;Longitude
Buinerveen;Drenthe;529.348.639;68.804.671
Buitenkaag;Noord-Holland;522.208.157;45.596.967
Buitenpost;Friesland;532.524.947;61.503.754
Bunde;Limburg;508.949.717;57.330.167
Bunne;Drenthe;531.177.942;65.337.887
Bunnik;Utrecht;520.665.285;52.007.761
Bunschoten-Spakenburg;Utrecht;52.25;5.366.667
Burdaard;Friesland;532.913.473;58.887.818
Buren;Gelderland;519.103.889;53.340.584
Buren;Friesland;534.474.957;57.998.015
Burgerbrug;Noord-Holland;527.479.569;47.032.325
Burgerveen;Noord-Holland;522.404.576;46.805.452
Burgh-Haamstede;Zeeland;51.695.833;3.743.333
Burgum;Friesland;531.936.901;59.913.642
Burgwerd;Friesland;53.086.119;55.458.909
Burum;Friesland;532.733.128;62.299.369
Bussum;Noord-Holland;522.624.625;51.513.993
Buurmalsen;Gelderland;518.927.468;52.935.555
Cadier en Keer;Limburg;508.283.686;57.661.277
Cadzand;Zeeland;513.692.317;34.077.694
Callantsoog;Noord-Holland;52.835.097;46.943.765
Capelle aan den IJssel;Zuid-Holland;519.154.297;45.449.679
Castelré;Noord-Brabant;514.333.333;47.833.333
Castenray;Limburg;514.891.704;60.358.747
Casteren;Noord-Brabant;513.964.385;52.383.109
Castricum;Noord-Holland;525.410.135;46.787.877
Chaam;Noord-Brabant;515.046.124;48.633.335
Clinge;Zeeland;512.693.961;40.888.417
Coevorden;Drenthe;526.551.202;67.535.997
Colijnsplaat;Zeeland;515.993.241;38.500.147
Collendoorn;Overijssel;525.942.909;65.958.059
Colmschate;Overijssel;52.248.611;6.218.333
Cornwerd;Friesland;530.832.949;53.907.465
Cothen;Utrecht;519.981.708;53.080.065
Creil;Flevoland;527.632.436;56.585.421
Cromvoirt;Noord-Brabant;516.612.638;52.298.416
Cruquius;Noord-Holland;523.360.142;46.347.871
Cuijk;Noord-Brabant;517.408.809;58.573.828
Culemborg;Gelderland;51.934.285;51.795.081
Daarle;Overijssel;524.351.093;6.536.381
Daarlerveen;Overijssel;524.427.788;65.770.881
Dalem;Zuid-Holland;518.264.014;50.070.217
Dalen;Drenthe;526.994.032;67.567.822
Dalerpeel;Drenthe;526.795.361;66.596.398
Dalerveen;Drenthe;526.950.496;68.099.187
Dalfsen;Overijssel;5.252.525;62.888.083
Dalmsholte;Overijssel;524.775.637;63.602.991
Damwâld;Friesland;53.283.333;6
Darp;Drenthe;527.748.364;62.036.734
De Bilt;Utrecht;521.033.971;51.979.647
De Blesse;Friesland;528.428.329;6.041.826
De Bult;Overijssel;52.814.115;61.242.803
De Cocksdorp;Noord-Holland;531.550.263;48.696.559
De Falom;Friesland;532.634.435;60.077.314
De Glind;Gelderland;521.194.102;55.085.534
De Goorn;Noord-Holland;526.275.324;49.449.451
De Groeve;Drenthe;531.110.383;67.113.367
De Heen;Noord-Brabant;516.103.141;42.724.967
De Heurne;Gelderland;518.894.094;64.912.905
De Hoef;Utrecht;522.007.451;48.143.176
De Hoeve;Friesland;528.868.001;60.884.871
De Kiel;Drenthe;528.633.699;67.316.824
De Klomp;Gelderland;520.476.361;55.740.299
De Knipe;Friesland;529.685.087;59.674.586
De Koog;Noord-Holland;530.962.203;47.618.406
De Krim;Overijssel;52.651.485;66.280.775
De Kwakel;Noord-Holland;522.390.773;47.939.868
De Lier;Zuid-Holland;519.744.488;42.511.633
De Lutte;Overijssel;523.149.047;69.874.149
De Meern;Utrecht;520.785.873;50.347.862
De Moer;Noord-Brabant;516.255.918;50.134.146
De Pol;Overijssel;52.824.016;60.781.888
De Punt;Drenthe;531.169.407;66.039.099
De Rijp;Noord-Holland;525.563.611;48.468.049
De Schiphorst;Drenthe;526.819.564;62.454.234
De Steeg;Gelderland;520.190.867;60.597.786
De Tike;Friesland;53.149.723;60.375.953
De Veenhoop;Friesland;530.980.115;59.500.655
De Waal;Noord-Holland;530.729.311;48.201.727
De Weere;Noord-Holland;527.200.612;49.988.477
De Westereen;Friesland;53.255.278;6.035.556
De Wijk;Drenthe;526.742.848;62.922.178
De Wilgen;Friesland;530.995.009;6.034.125
De Wilp;Groningen;531.174.045;62.527.896
De Woude;Noord-Holland;525.469.212;47.757.441
De Zilk;Zuid-Holland;523.024.463;45.432.223
Dearsum;Friesland;53.086.491;57.161.575
Dedemsvaart;Overijssel;5.259.008;64.530.908
Dedgum;Friesland;530.233.306;54.918.158
Deelen;Gelderland;520.667.189;58.940.333
Deest;Gelderland;518.892.306;56.660.108
Deil;Gelderland;518.852.281;52.444.122
Deinum;Friesland;531.918.429;57.249.778
Delden;Overijssel;522.599.979;67.092.109
Delfgauw;Zuid-Holland;520.091.941;43.967.708
Delfstrahuizen;Friesland;528.741.795;58.249.106
Delft;Zuid-Holland;519.850.245;43.871.967
Delfzijl;Groningen;53.328.067;69.179.145
Delwijnen;Gelderland;51.770.395;51.879.073
Den Andel;Groningen;533.929.082;65.088.277
Den Bommel;Zuid-Holland;517.152.812;42.788.659
Den Burg;Noord-Holland;530.546.266;47.997.253
Den Dolder;Utrecht;521.390.592;52.428.279
Den Dungen;Noord-Brabant;516.653.323;53.717.239
Den Haag;Zuid-Holland;521.097.515;4.315.684
Den Ham;Overijssel;524.643.982;64.942.602
Den Ham;Groningen;532.740.021;64.274.379
Den Helder;Noord-Holland;528.896.508;4.741.736
Den Hoorn;Zuid-Holland;519.995.814;43.301.033
Den Hoorn;Noord-Holland;530.255.323;47.511.124
Den Horn;Groningen;532.271.094;64.463.151
Den Hout;Noord-Brabant;516.586.088;48.120.397
Den Ilp;Noord-Holland;52.454.533;49.073.219
Den Oever;Noord-Holland;529.343.779;50.282.699
Den Velde;Overijssel;526.003.485;66.914.457
Denekamp;Overijssel;523.753.799;70.061.799
Deurne;Noord-Brabant;514.643.821;58.420.356
Deurningen;Overijssel;52.305.278;6.874.167
Deurze;Drenthe;529.845.549;66.092.025
Deventer;Overijssel;522.309.182;62.457.937
Didam;Gelderland;519.350.045;61.558.917
Diemen;Noord-Holland;523.455.586;49.854.493
Diepenheim;Overijssel;52.200.578;65.579.901
Diepenveen;Overijssel;522.915.271;61.485.912
Dieren;Gelderland;520.400.081;61.036.585
Diessen;Noord-Brabant;514.757.206;5.175.417
Diever;Drenthe;528.547.376;63.177.419
Dieverbrug;Drenthe;52.846.944;6.340.833
Diffelen;Overijssel;525.238.919;65.586.442
Dijken;Friesland;529.511.305;5.710.463
Dinteloord;Noord-Brabant;516.354.752;43.710.842
Dinxperlo;Gelderland;518.661.469;64.959.468
Diphoorn;Drenthe;527.700.627;68.197.339
Dirkshorn;Noord-Holland;527.494.753;47.793.944
